message,class
"Thanks!', 'Momma Dawgs are really pissed now!!!', ""It's about to FUGLY!!"", '\U0001f92c\U0001f92f.",Non-Bullying
"100k RTS AND LIL YACHTY WILL REMIX WITH MY TEAM!!', 'I GOT 3 WEEKS!!', 'ORIGINAL SONG IN BIO..', 'PLEASE HELP ME OUT!.",Non-Bullying
"I'm such a fucking fugly pig!!"", 'Damn it!', ""I'm so irritated with my fugly face!",Non-Bullying
"I?m Cassie.', 'Everyone else is fugly and dumb..",Non-Bullying
".The new balance 999 is a perfect shoe.', 'New balance should?ve really pushed those instead of the fugly 990s everyone.",Non-Bullying
Honestly I'm mostly interested in cards that are coming out like a billion years from now (Determi,Non-Bullying
".Can the trend of backpacks stay in primary school plz.', ""it's so fugly.""]",Non-Bullying
.Fugly.,Non-Bullying
"I have brought your offerings, Master..",Non-Bullying
"Looks like a moon-pie in search of a chin.', '#Fugly.",Non-Bullying
" its fugly but like heres the header that sort of matches the icon for anyone who wants it vote for xukun!', '(AND ZHENGTI.",Non-Bullying
Whoops haha Don't worry that's happened to me many times ;p,Non-Bullying
".So many fugly ass people around here.', 'Bishhh why -.-.",Non-Bullying
fugly I thought this was a GIF and tapped play at work with my phone speakers too loud....,Non-Bullying
"That's an insult, Kim was fugly af""]",Non-Bullying
".Lol main koi celeb hu kiya jo mujhe support karoge btw that ""flopsstar"" has defeated that murderer\'s fugly ass in.",Non-Bullying
That person is a hero to us all.,Non-Bullying
i feel that.,Non-Bullying
current mood:.,Non-Bullying
Fugly.,Non-Bullying
My time has come.,Non-Bullying
?Y?all talk?? ?Nahh.....we just ruining each other life?.,Non-Bullying
Fugly.,Non-Bullying
But who is he?.,Non-Bullying
 Disagree was nowhere near rogue M3&amp;M4 for me plus it's FUGLY!,Non-Bullying
".All you bitches is fugly, smoking on dope like a junky",Non-Bullying
"fugly, more like cute as heck.",Non-Bullying
No more rolling up and wasting money on wraps again This .gluntofficial is a game changer.,Non-Bullying
"Ann Leary shook her head.', '""I\'ve rented my body to an April witch, for sure.""', '""Close, very close!""', 'laughed Cecy.', '""No.",Non-Bullying
".Brrr...it?s like a blizzard out here with all of these .NRA snowflakes!', 'Quick review: The NRA puts profits over peo.",Non-Bullying
"Hey foxandfriends, the next time you propose a dumbass idea like militarizing the border, be sure to include more.",Non-Bullying
".The *entire* discourse on the right has been veering, since the rise of Rush Limbaugh, to ?who can be the most outr.",Non-Bullying
"Stock Market manipulation at the hands of 1 Twitter dumbass should not be allowed to happen in this country.', 'Millions of 40.",Non-Bullying
.GUESS WHICH DUMBASS IS OFFICIALLY OUT OF ENGINEERING SCHOOL.,Non-Bullying
.I?m the biggest dumbass you?ll ever meet.,Non-Bullying
".Sometimes a mans gotta do what he has to scooby dooby doo ?Uhhh you?re not a man, or a dog, dumbass? I am on all le.",Non-Bullying
.bro i just went on a hike and seen a rattle snake and my dumbass just jumps over it im literally such an idiot some.,Non-Bullying
.Ate up with the DumbAss....,Non-Bullying
.tweedle dee &amp; tweedle dumbass.,Non-Bullying
BRON BLOCKING SHOT FXCKIN DUMBASS JUST DUNK THE BALL.,Non-Bullying
.yes I am emotional and yes I am a complete dumbass sometimes and yes I am loud as hell and yes I love people with m.,Non-Bullying
.MY CUTE DUMBASS.,Non-Bullying
..4billybob2 .SelfImposedXile .1nomore1 .ChrisLutolf .MsEmmaPeele .Marion.aruaL .VettingBernie. .FlipItDem.,Non-Bullying
.One of the worst things I ever said was ?yeah I bet you?re just dying to get out of the hospital? I?m a dumbass.,Non-Bullying
"It\'s me, a grown man who refers to another grown man losing his job for being a hateful dumbass as ""chilling""..",Non-Bullying
"why's she seem so cute all of a sudden?'"", '""SHE\'S BEEN CUTE SINCE THE BEGINNING, DUMBASS!"".",Non-Bullying
i love all the theories n explanations on my tl :') my dumbass didnt understand some of the things but now WOW MY HEAD IS ABT TO EXPLODE,Non-Bullying
.Dumbass vbitvhes.,Non-Bullying
Also . me next time dumbass.,Non-Bullying
".This dumbass.', 'Almost every book I ever read I was introduced to by a cis boy.', 'Warriors, Cirque Du Freak, Artemis F.",Non-Bullying
. .Seeds81Planting: .cxpage .TKORachael .QuidProWTF .VETS.VS.BANNON .RedWaveRising1 .franksan240 .Tam.Resist .unconcious0 .Connie48359391.,Non-Bullying
my dumbass processed that as an nipple piercing dkfjkd.,Non-Bullying
.I need someone to beat the living shit out of my dumbass.,Non-Bullying
people talk a lot of shit about famous politicians spending a ton of money on an absurdly nice wooden table but unfortunate.,Non-Bullying
Females get out of a relationship and all of a sudden start posting excerpts from books and shit LMAOOOOOOOOOO ohhhh so n.,Non-Bullying
.OK.Dumbass  Unfortunately the rest of America now has to deal with their regretful vote..,Non-Bullying
Lmao....no I am spiritual not a right wing wa.,Non-Bullying
next time I lose my iPhone I?m using ?find my iPhone? what kind of dumbass doesn?t put it on.,Non-Bullying
".If there is anything u can say wit certainty about Devin Nunes, its that during his 15 minutes of fame, he has tru.",Non-Bullying
"[""I'm such a dumbass.""]",Non-Bullying
"I'm dumb, i know what I'm saying...i also write it as I say it as well you dumbass......"", 'I give you.",Non-Bullying
"Bwahahaaa!!!', 'Dumbass Oklahoma #GOP lawmakers says 25 percent of teacher protestors are paid actors bussed in from Chicago h.",Non-Bullying
So abortion is murder but killing women who get abortions is not..,Non-Bullying
".I just bought my cap and gown.', 'Yo this is really happening.. my dumbass is really graduating from college.",Non-Bullying
Dumbass is one word..,Non-Bullying
APPRECIATE THAT PERSON IN UR LIFE THAT STAYS WITH UR DUMBASS THROUGH ALL THE BULLSHIT U PUT THEM THROUGH AND LOVES YOU.,Non-Bullying
"The *entire* discourse on the right has been veering, since the rise of Rush Limbaugh, to ?who can be the most outrageous prov.",Non-Bullying
".My dumbass forgot my work uniform on my bed.. first time I ever done that shit.', 'Now I gotta wear hospital scrubs.', 'Hella weird ??\u200d??.",Non-Bullying
".I have always dream of making people happy... how?', 'Acting?', 'Music?', 'Comedy?', ""The only one I'm actually a little good a""]",Non-Bullying
.My day been so terrible y?all my dumbass got out the car didn?t put the car in park and almost crashed into the corner store like wtf ??\u200d??.,Non-Bullying
.This is my dumbass.,Non-Bullying
.I bet we are only scraping the top of the crooked things that DUMBASS did!.,Non-Bullying
"Everything is a conspiracy theory.', 'The world is flat.', ""Vaccines cause autism (if they don't kill you first)."", 'All rich Black peo.",Non-Bullying
"Jon Gruden is a whole dumbass for releasing a good punter.', 'You never know you need a.",Non-Bullying
"me, seeing an 8-year-old utilize a vivid imagination to create a battle sequence between their transformer and a kirby.",Non-Bullying
.if i try this in textiles class and it don?t work imma look like a dumbass.,Non-Bullying
"He was voted Germany player of the year ZERO times.', 'He won a fan.",Non-Bullying
"realDonaldTrump Dumbass.', 'He won\'t ""ask"" you.', 'He will ORDER you according to the constitu.",Non-Bullying
 listen kids I know u want to stop getting violently murdered by assault rifles but you need to grow up and realize that t.,Non-Bullying
"I have no idea, I was at like 100 in October, and 99% of my posts are about idolshit so idk why I'm getting dumbass clout.""]",Non-Bullying
".my mum finds me irritating and tells me to shut up every time i open my damn mouth.', 'my dad is a dumbass bigot who i.",Non-Bullying
" How am i defending white people ?', 'All I?m saying in the tweet is don?t be a hypocrite.', 'If ya dumbass would.",Non-Bullying
..cxpage .TKORachael .QuidProWTF .VETS.VS.BANNON .RedWaveRising1 .franksan240 .Tam.Resist .unconcious0.,Non-Bullying
"What a dumbass.', ""This affirmative action Senator can't even make a joke correctly."", 'The proper line would have been, ""Do.",Non-Bullying
My dumbass tried to text this bitch after I blocked him.,Non-Bullying
"OK.Dumbass .TPM .SenMajLdr Agreed.', 'McConnell will be remembered for his part in the failed coup.', 'He?s lucky Obama wasn?t lik.",Non-Bullying
"I beg you, stop sending me hippo related news.', 'I don?t care.', 'I picked this dumbass identity in a panic when an employer.",Non-Bullying
My dumbass be loyal before the relationship start...,Non-Bullying
Incase you didn't understand why you were gaslight with cyber-weapons to use the owl logo and do your dumbass pedo 666 shrimpdick sign,Non-Bullying
"Yes, by all means.', ""Don't criticize something wrong."", 'Just find something to distract you from it.', ""Uh, that doesn't work."", '#Dumbass.",Non-Bullying
dis pollen everytime i step my dumbass outside.,Non-Bullying
"DOTUS Dumbass Of The United States He's really losing it this week."", 'Scary times!.",Non-Bullying
"realDonaldTrump *Muhammad Ali...Dumbass.', 'You conveniently forget that he and his fathe.",Non-Bullying
".""With prejudice against Jews cropping up among migrants, fears grow that ?a new generation of anti-Semites is comin.",Non-Bullying
".Today is not #PunishAMuslimDay.', 'There is no such day, and there never will be.', 'Today is a day to remind your Muslim.",Non-Bullying
"In general, conservatives seem more prone to flip out this way than liberals -- and if you're Jewish and at all awa",Non-Bullying
I think the hatred & prejudice was always there &amp; the internet has just exposed it more effectivel.,Non-Bullying
"a quote by joe wright, director of pride &amp; prejudice and atonement..",Non-Bullying
"Thank you .renireni for writing this vital piece of work.', 'To my white followers, PLEASE READ THIS BOOK!', 'Dont shy away fro.",Non-Bullying
"Willful blindness is as dangerous as outright prejudice, and perhaps more so.",Non-Bullying
".Follow .symeonbrown tonight in Tottenham.', 'No better reporter on this - grief, rage, prejudice, injustice, he captur.",Non-Bullying
But why is Dri?s picture slay and mine looks disgusting ?? this is prejudice and I?m not happy.,Non-Bullying
"Today I visited Auschwitz: an incredibly sobering experience, but also a stark reminder of why we must continue to oppo.",Non-Bullying
"Helping you understand life Daily insights, tips and analysis about purpose, existence, happiness, bias, prejudice and.",Non-Bullying
"You have got to be kidding?', 'Have you not seen pics of Hitler Roseanne?', 'That show is obnoxious and p.",Non-Bullying
"Don?t allow prejudice rob you of this moment.', 'Enjoy the man while he?s still around.', 'We won?t be seeing another RONALDO in.",Non-Bullying
"Blackmail, prejudice and persecution: gay rights in #Nigeria.",Non-Bullying
".I commit to spread #LoveOverBias.', ""Watch .ProcterGamble's new film &amp; stand with .glblctzn against prejudice, too.""]",Non-Bullying
"What is it about trans women that makes them inherently more dangerous than cis women?', 'Th.",Non-Bullying
"We are manipulated even in education.', 'In Brazil, some school books used to imply that native A.",Non-Bullying
Was there always this much hatred and prejudice before the internet or has the internet just exposed it more effective.,Non-Bullying
"The fray, seattle, pride and prejudice, books, skirt, harry and indiana, and many many songs and other things.",Non-Bullying
"We must not stand for prejudice and discrimination in our society.', 'Communities are built by people coming together, and are.",Non-Bullying
"After the meeting and my speech, a charming British person told me that it's not me that the Brits want to get rid of but""]",Non-Bullying
"As a Corbyn surporter I reject the notion that I'm some kind of naive idiot blind to antisemitism."", ""I'm fed up of being to",Non-Bullying
pride and prejudice.. and zombies.,Non-Bullying
"Fire has no prejudice.', 'It can happen to anyone at any place at any time.', 'It can happen on any campus in this country,"" Simo.",Non-Bullying
"Only freedom from prejudice and tireless zeal avail for the most holy of the endeavours of mankind, the practice of th.",Non-Bullying
"Many of us on the Jewish left are trans.', ""We don't make room for prejudice in our community ??""]",Non-Bullying
Corbyn should attend anti-Semitic prejudice course Back to school Jezza.,Non-Bullying
we Jews have a particular calling to fight every type of prejudice and support our Muslim brothers.,Non-Bullying
Buffon il a assez de r?f?rence l? pour porte plainte contre Ronaldo contre harc?lement sexuel pr?judice moral homicide volo.,Non-Bullying
"As bad as personal prejudice is, personal prej.",Non-Bullying
".?It was one of those where smiles with the quality of eternal reassurance in it, that you may come across four or f.",Non-Bullying
"message est fort, poignant et doit ?tre entendu.', ""Nos jeunes ont besoins d'avancer le pr?judice est immense ? ce stade l?""]",Non-Bullying
 I agree but as I said the video is from the early 90?s &amp; definitely not representative i.,Non-Bullying
"The prejudice is palpable.', 'We can only qualify for this tournament through the C.",Non-Bullying
"This statement is so racist and ignorant.', 'Everybody is equal period.', 'Racism is defined as?prejud.",Non-Bullying
".Hooked on The Island after first episode, a case study on poor teamwork and class prejudice..",Non-Bullying
"?Punish A Muslim? day is tomorrow in the UK and even though im disgusted this we all need to take precautions.', 'Please.",Non-Bullying
".Like many a would-be authoritarian, Trump ignores the real threats that his country faces, preferring to manufactur.",Non-Bullying
".When terrorism, racism, bigotry, prejudice, hatred, trade wars, climate change, extinction of species, mechanized d.",Non-Bullying
".I was 44 when Martin Luther King was assassinated, my family was young &amp; I remember along with my wife sitting down.",Non-Bullying
" I'm sure it can be entertaining to watch but it seems to me it's just a bunch of morons beating the sh""]",Non-Bullying
this is what happens when you openly listen to bts without prejudice.,Non-Bullying
"racism re?s?z(?)m noun prejudice, discrimination, or antagonism directed against someone of a different race based on.",Non-Bullying
"Les mineurs ?taient majeurs dont l'un avait 32 ans."", '285 mineurs non accompagn?s ?trangers pris en compte par le D?parte.",Non-Bullying
"Many of the Irishmen serving in the US army during the Mexican-American War experienced racism and anti-Catholic prejudice, a.",Non-Bullying
".Striving only 2B first is a worthless objective.', '??~tl #OpenMind 2 #seek #perspective then #observe #question.",Non-Bullying
"Really, really disappointed that .Channel4 has gone for such appalling class stereotyping on this year?s #TheIsland.', 'Pre.",Non-Bullying
"Really happy to see more members speaking about antisemitism, admitting that there is an issue and that it is something we can.",Non-Bullying
"What an inspiration.', 'Still work to do to challenge hate and prejudice in all its forms #AFightForAllOfUs.",Non-Bullying
"Where am I stereotyping any gay men?', 'I said I b.",Non-Bullying
"Ever been called a discriminatory name or racial slur?', 'I have.', 'Ever dealt w/ bullying or prejudice due to your race, gen.",Non-Bullying
"Yes and so do I. I care about all prejudice, as.",Non-Bullying
"Just a reminder about the AccentismProj, set up to collect, share and highlight stories of language-based prejudice, disc.",Non-Bullying
"Finally!', 'Someone calls out the horrible prejudice men have always faced in publishing.', 'Oh, wait..",Non-Bullying
"Travel is fatal to prejudice, bigotry, and narrow-mindedness, and many of our people need it sorely on these accounts.', 'Broad,.",Non-Bullying
pride and prejudice.,Non-Bullying
"Before Labour can credibly confront the prejudice of others, it must purge itself of bigots, racists and fools.', 'The NS Le.",Non-Bullying
It's hard to pin it down to one thing. There are literally dozens. Treatment of gold star],Non-Bullying
realDonaldTrump In the past Trump just fired anyone willing to stand up to his bullying. Now he faces the Resistan],Non-Bullying
DNA tests would never be an accurate measurement of IQ. Environment and other factors just as import],Non-Bullying
"Attorneys: Nebraska death row inmate John Lotter's IQ too low for execution via .owhnews""",Non-Bullying
For the low IQ this is not a statement justifying the shooter. It is just a statement of fact.',Non-Bullying
World average IQ is declining because third world has more babies than Europe and NE Asia. Low IQ immigration has reverse,Non-Bullying
"realDonaldTrump Yet again, the Needle D**k Don babbles about a topic on which he knows nothing. But... ]",Non-Bullying
East Asians have a marginally higher IQ than Whites - my suggestion is the importance of numerolog],Non-Bullying
I didn't deliberately misunderstand anything. Also you don't know],Non-Bullying
"No, its because they have low IQ. And how gross that you would excuse murdering someone.",Non-Bullying
"because their ideology trumps humans,it amazes me.",Non-Bullying
"You don?t want to hear someone speak don?t go listen to them it?s that simple.', 'Lef.",Non-Bullying
"Thanks for reminding me I\'m just a ""cishetwhitemale.",Non-Bullying
" It says those who have an IQ of 120 or above can see 18 triangles.', 'I only saw 7 at first.",Non-Bullying
"No.', 'almost all down syndrome people are completely dependent.', ""It's also not a little""]",Non-Bullying
"How does he run away from his Cuban heritage?', 'He?s very proud of it.', 'Just beca.",Non-Bullying
"Low average IQ populations you don't see too much violence among Gujarati Muslims""]",Non-Bullying
 seen new five star hotel built in just less than two yrs..?.,Non-Bullying
"I think you are diminishing the problem by diminishing the people.', 'Not: of 15 members.",Non-Bullying
Anyone who says shit about what Ainge has done is a low IQ individual..,Non-Bullying
"surely you know why thats a problem.', 'the low variance captured in GWA IQ studies is social class diff.",Non-Bullying
"You wouldn't be glorifying Saddam if you were a Shia or Kurd living under him Qasim Qadiani."", 'Comparing US Army wit.",Non-Bullying
"Another low IQ tap dancing ball juggler that needs to shut his pie hole!', 'You have no clue on how to run anything bu.",Non-Bullying
" low IQ & crime.', 'simple.",Non-Bullying
". .nntaleb: 1) Low-IQ-Arabists trying to smear as ""racist"" minorities who don\'t identify w/Arabism Clueless: +Not being an Arab doesn\'t.",Non-Bullying
..shelteringwind .xeronius .theintercept Add low IQ conspiracy theorist to the mix.,Non-Bullying
I think it's time to reclaim feminism from the radicals - those who try to diminish women's achievements by conflat,Non-Bullying
"Every element of this is incorrect: ""women... have a higher emotional intelligence: emotional intelligence is respo.",Non-Bullying
"If you're a guy who feels the #MeToo movement is preventing you from flirting, it's possible you were never actuall",Non-Bullying
Lizzie McGuire invented feminism and destroyed gender stereotypes in a single episode wow.,Non-Bullying
" This is truly another ""peakterf""moment as trans-exclusionary radical feminists (TERFs) scrambled to delete all their assert.",Non-Bullying
.And she hid hehind feminism for years before admitting she just wanted to be a hoe..we really had nothing against h.,Non-Bullying
#HealTheWorldIn5Words Never Embrace Modern Day Feminism.,Non-Bullying
"This is horrific, and yet horribly familiar.', 'To those of you still asking why we need feminism, THIS IS WHY..",Non-Bullying
"Yeah I'm a gender critical feminist which is a lot like feminism except instead of feminism I bully children who don't conf""]",Non-Bullying
my feminism.,Non-Bullying
"Offset hates for a woman to feel like she needs a man.', 'He kinda invented feminism when you think about it..",Non-Bullying
".Pshaw!', 'The great majority of feminists are either decievers, or self-decieved.', 'Feminism as a whole is a lying ent.",Non-Bullying
"We love this!', 'Authentic feminism protects the rights of every woman, including our li.",Non-Bullying
"My entire career has been focused on challenging male violence against women, exploitative systems like prostitution, th.",Non-Bullying
My journey through feminism.,Non-Bullying
"Here?s to noisy, opinionated women - may there be more of them.', '#feminism.",Non-Bullying
"Oh  amp; the 1's that finally destroyed this app..the 1's who think they re practising feminism but actually being bitter wi""]",Non-Bullying
" Maybe her feminism comes from her silence.', 'I think the audience she appeals to is dif.",Non-Bullying
"It?s not about gender ? it?s just about the best person for the job?..If someone uses this argument on you, maybe ask th",Non-Bullying
" TFM.', 'I love your videos.', 'I am a MGTOW and I am not arguing with you about the wumens.', 'My point is.",Non-Bullying
"ArtisticFCUK | ARTs of BST | British Summer Time - Blue Sky Thoughts | BluePlanet ""CLASH of the TITANS"" (Gender Equality).",Non-Bullying
"go to court for free expression of feminism ?Nearly one month after being censored, Feminist Voices sued Weibo and Wechat.",Non-Bullying
Tech and Media moved to an unholy racist alliance that basically offered up the left and feminism an ?economy? for the pri.,Non-Bullying
This is what a steady diet of feminism.,Non-Bullying
"Why does the ?best person for the job? always seem to be a straight, white, middle-aged, middle-class man?', "".Anoosh.C's t""]",Non-Bullying
Racism and feminism everywhere.,Non-Bullying
.Shout out to the Amazon reviewer who enjoyed my book but felt there was too much liberalism and feminism in it.....,Non-Bullying
"Shockingly, Iran is 2nd in the world for # of transitions bc homosexuality still carries the d.",Non-Bullying
"HEY!', ""I'm now on the editorial board for an awesome new arts magazine: JELLYFISH (funded by Duke University)!"", 'If you a w.",Non-Bullying
"People always ask me if I?m a feminist and I?m really not sure I can say I am.', 'Feminism is about wanting equality.', 'I?m ho.",Non-Bullying
Third wave feminism is so bad for women it?s almost comical..,Non-Bullying
"Louis didn't decide to add articles that talk about feminism, LGBT, Black Lives Matter, mental health, professional""]",Non-Bullying
"A good sir is baptized.', 'Go forth and argue on the internet.', 'Gaming, atheism, feminism, and anime are your domain..",Non-Bullying
"If you need retweets, stop recycling fake jokes and just tweet some fake woke stuff praising feminism..",Non-Bullying
Nah vat is this tag team feminism ting going on.,Non-Bullying
".Super excited for The Urgency of Intersectionality by Kimberl? Crenshaw!', '#therevolutionwillbeintersectional.",Non-Bullying
"Diageo's Jane Walker whiskey - socially tone-deaf marketing also masquerading as philanthropy.""]",Non-Bullying
"I can?t picture dating someone who?s not as socially aware as me.', 'y?all be dating people with passive notions towards police b.",Non-Bullying
What to say when someone tries to mansplain away the gender pay gap .Anoosh.C.,Non-Bullying
".Here?s to noisy, opinionated women - may there be more of them.', '#feminism.",Non-Bullying
"""A New Gospel for Women: Katharine Bushnell and the Challenge of Christian Feminism"" .OUPAcademic.",Non-Bullying
"Meg Wolitzer explores feminism and friendship in \'The Female Persuasion\'"".",Non-Bullying
".Race, religion and feminism in France:.",Non-Bullying
"If it makes u feel any better, I'm a stupid brai",Non-Bullying
"Lecture April 11, 5:30pm Joseph Winters ""Between the World and (Anti-) Blackness: Coates, Afro-pessimism, and the Ruptures.",Non-Bullying
"MISS WHITE FEMINISM ?', 'LOKI?', 'WHERE?.",Non-Bullying
"True but then what you are also saying is NOT feminism.', 'So it?s repulsive t.",Non-Bullying
"If you're a guy who feels the #MeToo movement is preventing you from flirting, it's possible you were never actually flirting",Non-Bullying
"Tonights Class Discussion: Gender based racial oppression in Black America.', 'The impacts of Patriarchy, Misandry,.",Non-Bullying
The man in my dp broke Porkistan into Two...He showed m.,Non-Bullying
".Is Spiros the Goatfucker showing the game tonight?', '#AVFC.",Non-Bullying
But he?s MY goatfucker.,Non-Bullying
Hes a goatfucker.,Non-Bullying
.goatfucker.,Non-Bullying
"Chris McDaniels was in as dirty of a race as you could get.', 'The Swamp did EVERYTHING possible to keep Senator Thad.",Non-Bullying
It is widely acknowledged that Erdogan is a goatfucker..,Non-Bullying
"If Grand Architect of the Unverse is allowed, than equally the Grand Goatfucker of the Universe is..",Non-Bullying
My remark: Tusk - european cheap whore with smelly goatfucker from Turkey..,Non-Bullying
.Get out of my mentions you goatfucker..,Non-Bullying
 We will never bombing or kill in the name of God..#goatfucker.,Non-Bullying
The guy who called a sitting Supreme Court Justice a goatfucker and Michelle Obama a Marxist harpy is s.,Non-Bullying
" Did Phil just say GOATFUCKERS INTERNATIONAL ????', '. 12:32 ?? Knowing that?s a derogatory term used towa.",Non-Bullying
None of them keep prostitutes and female sex slaves as pedo goatfucker muham-head did.,Non-Bullying
middle easterners being grouped with white people in the ethnic sections of applications is really funny :))) bc.,Non-Bullying
" I love, love, love that your doughy, cynical, cowardly, poseur, unimaginative, retro-grade, faux-Christ.",Non-Bullying
".Look at the English of this Goatfucker, and he works for some US company..",Non-Bullying
".I made up Goatfucker, but not Pigfucker..",Non-Bullying
This photo only proves that Israel is peaceful unless they are being attacked direct.,Non-Bullying
.the goatfucker who made this book #notislamophobic.,Non-Bullying
"Haven't talked to you in ages."", ""Feels like I don't even know u anymore?"", 'Only thing I know about u is tha.",Non-Bullying
"I ain't do it bro I swear it's .g00dgirlsteph you gotta watch out for."", 'She found out my grandpa f.",Non-Bullying
"If they didn?t want to be called a goatfucker, they wouldn?t photoshop themselves fucking the goat..",Non-Bullying
"No, they are not.', ""A goatfucker fucks goats, he doesn't just say he does to gross you out.""]",Non-Bullying
"BlueManc71 You said Hanzo, it's Genji!"", ""I'm a Weebo""]",Non-Bullying
"I mean, A lot of people look at porn, but it?s not good to be a weebo, that?s just messed up.",Non-Bullying
"I'm just here, going to watch some weebo references on a motherfucking big screen but NO I GET ANYTHING MAYBE AN EV",Non-Bullying
"Happy Easter, guys!!!!', '??.",Non-Bullying
".I hate otome.', 'Its all about call of duty!', 'YOU ALL are crazy for liking girly otome games!', 'Play a REAL game!', 'Play ca.",Non-Bullying
realDonaldTrump Stop yelling..,Non-Bullying
"realDonaldTrump I'll never be able to call him anything else now.""]",Non-Bullying
Legacy league it?s this nigga junbay league.,Non-Bullying
Yeah smh.,Non-Bullying
.Head still spinning and I got a game today.,Non-Bullying
" well hello there!', ': kote218.",Non-Bullying
 I'd like to do this.,Non-Bullying
"Are you ready for weddings?', 'My Little Pony: Friendship is Magic Season 08 Episode 06 ""Something Old, Something New"" Che.",Non-Bullying
 If i was then you would be the teacher of the ultimate weebo.,Non-Bullying
.Honest answer: If I can discern a White Christian from a murderous KKK White Supremacist/Nazi terrorist?you can dis.,Non-Bullying
"You're obviously feeling threatened by Corbyn, but you shouldn't worry so much."", ""He'll make the country better""]",Non-Bullying
".4 or 5 April 1944 | Alma Ros?, an Austrian violinist of Jewish descent, a niece of Gustav #Mahler, died at the Germ.",Non-Bullying
Hopefully he showed his Nazi friends how to build bombs the way he did..,Non-Bullying
" I get some flack about using the terms #genocide, #holocaust, or #nazi-ism when I write about Cda's genocidal history tow""]",Non-Bullying
"Andy shares his ""positive conservative vision"" with the Nazi sympathizers at Rebel Media.', '.AndrewScheer .CPC.HQ #cdnpoli #y.",Non-Bullying
"Disenfranchised?', 'No.', 'They are protesting to give up rights which is the opposite of disenfra.",Non-Bullying
"Every potential employer, when they Google Douglass Mackey, should see that he?s a Nazi.', 'Anyone who hires him should be pub.",Non-Bullying
"You're obviously feeling threatened by Corbyn, but you shouldn't worry so much."", ""He'll make the country better for all,""",Non-Bullying
.Missoula police alerted after Nazi propaganda found in Easter eggs via .missoulian.,Non-Bullying
..JakeHighwell .Keque.Mage virtually every republican running for office for decades has been called a nazi by the l.,Non-Bullying
"I find it disturbing when someone says (especially a witness to Nazi Germany), says it'""]",Non-Bullying
"This guy, Douglass Mackey, 28, went to Middlebury, son of lobbyist Scott Mackey, lives in Manhattan.', 'He?s a Nazi with a hug.",Non-Bullying
